Categoria,Alta,Baixa,Média,Urgente
1. Correção,0.0,20.0,70.0,10.0
2. Conversão de Versão,0.0,0.0,100.0,0.0
3. Nova Personalização,4.2,24.6,65.0,6.2
4. Re-personalização,2.1,20.8,72.9,4.2
5. Novos Oficiais,1.0,95.0,4.0,0.0
6. Melhoria Oficial,0.0,50.0,16.7,33.3
"7. Dúvidas, Desistência ou Transf. Depto.",1.4,31.4,67.1,0.0
Aplicativos,17.0,66.0,17.0,0.0
Atualização Versão e Build,95.2,0.5,4.2,0.0
Backup,14.3,71.4,7.1,7.1
Banco de Dados,29.4,55.9,14.7,0.0
Chat Inativo,0.0,100.0,0.0,0.0
Cloud,25.7,55.7,18.6,0.0
Documentação,11.1,77.8,11.1,0.0
Dúvidas,86.4,2.9,10.6,0.0
E-mail,10.7,64.3,25.0,0.0
EGCloud,25.0,39.2,33.3,2.5
Erros,85.1,0.9,10.7,3.3
Hardware,18.3,54.9,26.1,0.7
Implantação,99.0,0.3,0.2,0.5
Instalação,94.1,0.4,5.4,0.0
Internet,32.1,50.0,14.3,3.6
Licenças,41.0,41.0,17.9,0.0
Melhorias,89.9,0.0,8.9,1.3
Monitoramento,0.0,80.0,20.0,0.0
No-Break,0.0,0.0,100.0,0.0
Nuvem Cloud,89.5,0.4,9.7,0.4
Office 365,0.0,76.5,23.5,0.0
Rede,5.9,64.7,29.4,0.0
Servidores,42.9,35.7,14.3,7.1
Sugestões,0.0,0.0,100.0,0.0
Telefonia,12.5,12.5,50.0,25.0
Tickets Offline,15.3,0.4,84.3,0.0
Transferência de Departamento,82.1,1.8,16.1,0.0
Usuários,19.4,75.6,5.0,0.0
