Categoria,qtd_tickets
Dúvidas,10575
Transferência de Departamento,1777
Tickets Offline,1721
Instalação,1581
Chat Inativo,1350
Erros,1087
Atualização Versão e Build,989
Nuvem Cloud,724
Implantação,621
3. Nova Personalização,448
Aplicativos,253
EGCloud,204
Usuários,160
Hardware,142
Cloud,140
Banco de Dados,102
5. Novos Oficiais,101
4. Re-personalização,96
E-mail,84
Melhorias,79
"7. Dúvidas, Desistência ou Transf. Depto.",70
Internet,56
Licenças,39
Rede,17
Office 365,17
Backup,14
Servidores,14
1. Correção,10
Documentação,9
Telefonia,8
6. Melhoria Oficial,6
Monitoramento,5
Sugestões,5
2. Conversão de Versão,3
No-Break,1
